ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE,PAYMENTMETHOD
27026,49,97.99,4,4900.47,2025-02-12,Shipped,1,2,2025,Classic Cars,80.61,S20_2234,Hamilton and Sons,469-273-9113x1642,40292 Compton Oval,Suite 972,Scottton,TX,82502,Bolivia,LATAM,Harris,Jamie,Medium,Credit Card
26185,30,118.43,10,3459.15,2025-06-21,Shipped,2,6,2025,Classic Cars,107.56,S99_7807,Buck-Larson,+1-999-396-4756x771,90836 Johnson Curve Suite 656,Suite 206,Perezstad,IL,40749,Liberia,LATAM,Burke,Barbara,Medium,Credit Card
20156,30,22.46,2,686.67,2025-04-01,In Process,2,4,2025,Trains,21.51,S37_8018,Johnson and Sons,252.918.5642x4456,829 Chung Trail,Suite 764,Myersborough,OK,40298,Belgium,LATAM,Brown,Jesse,Small,Credit Card
29571,65,85.58,8,5677.48,2025-01-06,Shipped,1,1,2025,Trucks and Buses,88.92,S10_2360,Hall-Calderon,317-408-1776,289 Monica Mountains,Suite 252,Michaelstad,WA,23915,Australia,LATAM,Green,Rodney,Large,Bank Transfer
27669,44,93.65,6,4067.93,2025-04-29,Shipped,2,4,2025,Classic Cars,99.37,S49_3451,Bishop-Martinez,+1-763-826-0210,02095 Teresa Terrace Apt. 893,Apt. 430,Lake Kenneth,MI,40605,Nicaragua,EMEA,Williams,Duane,Medium,PayPal
10281,45,53.73,7,2409.45,2025-01-16,In Process,1,1,2025,Motorcycles,61.0,S57_1005,Floyd Inc,+1-436-472-8031,180 Paul Tunnel Apt. 521,Apt. 066,Davidhaven,PR,58942,Mauritania,APAC,Lee,Julia,Medium,Cash
18248,57,51.61,1,3084.12,2025-03-09,Resolved,1,3,2025,Motorcycles,49.81,S52_4552,Baker Inc,+1-949-912-7804,87392 Lisa Valleys,Suite 652,Port Danielle,MT,68835,British Indian Ocean Territory (Chagos Archipelago),EMEA,Moreno,Morgan,Medium,PayPal
26818,46,92.2,7,4244.94,2025-02-02,On Hold,1,2,2025,Classic Cars,80.8,S94_3350,"Jordan, King and Martin",+1-796-465-6446,77567 William Roads Apt. 349,Suite 612,Cunninghamport,LA,61400,United States of America,EMEA,Meyer,Mary,Medium,Credit Card
20439,34,50.64,6,1800.4,2025-01-15,Resolved,1,1,2025,Motorcycles,48.52,S45_6351,Wood and Sons,253.297.4202x94107,719 Jennifer Mall Apt. 151,Apt. 815,Michaelview,LA,23585,Mali,LATAM,Huynh,James,Small,PayPal
10606,11,25.15,2,230.72,2025-03-13,Shipped,1,3,2025,Trains,23.94,S36_6914,"Faulkner, Dodson and Stewart",486.366.3721x138,8320 Joshua Lane,Suite 034,East Stephanieborough,PR,31690,Nigeria,APAC,Robinson,Jeremiah,Small,Credit Card
22704,9,144.17,7,1195.66,2025-01-16,Shipped,1,1,2025,Planes,137.74,S61_8019,"Harris, Scott and Johnson",618-216-0230x54406,3855 Mclean Loaf,Apt. 575,East Alexhaven,KS,26792,Guinea,LATAM,Carter,Robert,Small,Credit Card
11621,23,44.81,8,1022.28,2025-04-18,In Process,2,4,2025,Trains,48.78,S16_9691,"Robinson, Logan and Fernandez",442.451.9248x183,674 Jacobson Point Apt. 496,Suite 857,Emilyborough,WV,82342,Lao People's Democratic Republic,APAC,Williams,Eric,Small,Credit Card
21915,53,48.18,10,2529.21,2025-03-25,Resolved,1,3,2025,Motorcycles,47.5,S26_7975,Mays-Nguyen,691.462.4513,827 Acosta Knolls,Suite 656,North Kimberly,MT,92004,Venezuela,LATAM,Booth,Steven,Medium,PayPal
14789,18,107.71,3,1986.83,2025-04-24,Shipped,2,4,2025,Ships,86.54,S29_6492,Fletcher-Murillo,(239)657-3611x72807,7662 Rachel Shores Suite 391,Suite 640,Mayerton,ND,29613,Saudi Arabia,LATAM,Martinez,Rebecca,Small,Bank Transfer
14945,23,39.27,10,861.51,2025-04-11,Shipped,2,4,2025,Trains,31.83,S40_4837,Morales-Burns,236-452-9969,394 Karl Curve Apt. 456,Suite 451,Lake Zachary,UT,37744,Macao,EMEA,Rasmussen,Glenn,Small,PayPal
22179,39,119.96,5,4675.75,2025-04-26,Shipped,2,4,2025,Classic Cars,97.38,S51_9643,Diaz-Austin,001-377-569-1131x401,0036 Stephanie Trace,Suite 140,Fitzpatrickside,NJ,77263,Papua New Guinea,APAC,Keller,Derek,Medium,PayPal
17500,56,48.05,7,2685.21,2025-05-23,Shipped,2,5,2025,Motorcycles,55.12,S11_3148,Parker-Lambert,7229858734,88681 Monique Isle,Apt. 375,Bookertown,MA,89198,Moldova,EMEA,Peck,Kellie,Medium,Cash
10208,92,76.13,5,7044.38,2025-03-15,Shipped,1,3,2025,Trucks and Buses,63.73,S89_1866,Fox-Lopez,001-612-663-7173,1491 Thomas Avenue Apt. 248,Suite 734,East James,MN,50179,Fiji,LATAM,Roberts,George,Large,Credit Card
29490,32,58.67,10,1797.05,2025-06-09,Cancelled,2,6,2025,Motorcycles,48.12,S72_6590,Hammond-Marshall,(479)418-5783x2528,240 Alexander Loaf,Suite 965,Port Michelle,LA,11090,Egypt,LATAM,Lewis,Amy,Small,PayPal
19732,35,60.96,10,2176.41,2025-03-09,Shipped,1,3,2025,Motorcycles,72.28,S68_3266,"Murillo, Lewis and Hill",(537)787-5095x0806,47049 Barrera Fork,Apt. 000,Edwardsfort,GA,90131,Armenia,APAC,Bell,Jeffrey,Medium,Credit Card
24002,92,89.93,5,8228.49,2025-04-27,Shipped,2,4,2025,Trucks and Buses,98.26,S55_7967,Chapman Group,394-456-5962x0294,5140 Davis Crescent Suite 865,Suite 257,Jamesberg,GA,29576,Tajikistan,EMEA,Kerr,Patricia,Large,Credit Card
14012,6,109.15,5,696.32,2025-06-25,Shipped,2,6,2025,Ships,126.78,S57_3115,"Jenkins, Baldwin and Middleton",+1-651-967-2518x852,2623 Gregory Inlet,Suite 473,Deanburgh,NC,44899,Timor-Leste,LATAM,Frost,Rachel,Small,PayPal
21557,35,82.68,6,2859.48,2025-01-26,In Process,1,1,2025,Classic Cars,74.45,S25_1516,Miller-Arroyo,(535)737-8377x794,93567 Tucker Curve Suite 577,Suite 239,South Bethanychester,CO,21327,Hong Kong,LATAM,Smith,Amy,Medium,Bank Transfer
22490,49,73.3,2,3470.53,2025-04-05,On Hold,2,4,2025,Motorcycles,61.36,S61_9437,Kelley Ltd,970.704.6388,4389 Brian Flats Suite 836,Suite 233,Alvaradoton,IL,34755,Dominican Republic,LATAM,Zavala,Jonathan,Medium,Bank Transfer
23315,32,69.5,1,2201.03,2025-03-08,Resolved,1,3,2025,Classic Cars,55.95,S78_3631,"Clark, Jones and Morrison",6902421350,60619 Troy Square,Suite 966,Beanburgh,AZ,29034,Czech Republic,EMEA,Williams,Cynthia,Medium,Bank Transfer
14491,88,61.22,7,5297.47,2025-02-08,Shipped,1,2,2025,Trucks and Buses,72.02,S77_5887,Williams and Sons,+1-671-329-4715x5684,60802 Day Centers,Apt. 125,Reidland,NJ,55899,Mongolia,EMEA,Graves,Jeffrey,Large,Credit Card
27715,92,87.23,3,7938.72,2025-06-03,Shipped,2,6,2025,Trucks and Buses,98.1,S84_9092,"Hudson, Graham and Bowers",671-259-8554x9738,057 Riley View,Suite 908,North Kevin,WY,51425,Singapore,LATAM,Schmidt,Matthew,Large,Cash
24613,7,143.18,9,770.2,2025-06-13,Shipped,2,6,2025,Planes,163.85,S50_4470,Horn-Cooper,001-404-653-6748,66777 Amy Village,Suite 706,Mitchellside,AZ,84262,American Samoa,APAC,Davis,Steven,Small,PayPal
27375,17,32.94,2,540.68,2025-05-18,Shipped,2,5,2025,Trains,36.06,S82_5451,Kelly-Brown,(416)771-2031,76737 Gonzalez Route,Apt. 609,South Scott,PR,79880,Czech Republic,APAC,Gonzalez,Alexis,Small,PayPal
16496,9,85.69,8,745.97,2025-01-31,In Process,1,1,2025,Ships,88.23,S95_3508,"Gay, Harris and Erickson",271.242.2648x74182,75646 Johnston Radial Apt. 563,Suite 729,Rogersberg,CO,89401,Panama,EMEA,Parker,Christopher,Small,Credit Card
13718,57,79.13,8,4433.81,2025-02-08,On Hold,1,2,2025,Motorcycles,78.04,S19_4230,Duarte Ltd,544.497.0751,11940 Adams Lock,Apt. 727,Robertshire,LA,45876,United States Minor Outlying Islands,APAC,Cannon,Amy,Medium,Bank Transfer
14062,39,60.79,9,2524.48,2025-05-27,Shipped,2,5,2025,Classic Cars,71.63,S97_9610,Jenkins-Ward,(825)841-7582x8009,257 Haynes Prairie,Apt. 567,East Brendashire,NM,13954,Libyan Arab Jamahiriya,APAC,Smith,Thomas,Medium,Credit Card
22281,39,64.6,6,2484.21,2025-05-22,In Process,2,5,2025,Motorcycles,67.09,S89_9505,"Miles, Farrell and Moreno",+1-479-983-5186x84055,1602 Rivera Valley Suite 528,Apt. 569,West Michael,OH,40106,Mauritius,APAC,Edwards,Yvonne,Medium,Bank Transfer
26504,26,100.9,3,2672.64,2025-06-11,Resolved,2,6,2025,Classic Cars,107.44,S93_4567,Hunter Group,630-240-9063,09332 Matthew Pine,Suite 825,Erinmouth,NJ,38166,New Caledonia,EMEA,Walls,Christina,Medium,Credit Card
12915,28,95.99,7,2642.07,2025-06-24,Shipped,2,6,2025,Classic Cars,93.78,S45_9475,"Weeks, Christensen and Kent",303-255-2410,7908 Mccoy Square Suite 188,Suite 944,West Bryan,IA,95109,Dominica,APAC,Garcia,Kimberly,Medium,Credit Card
25331,6,92.91,4,606.99,2025-03-03,Shipped,1,3,2025,Vintage Cars,92.23,S34_9155,Hensley-Robertson,650.514.3625x916,3156 Keith Alley,Suite 101,Smithburgh,OR,10639,Slovenia,APAC,Morris,Nancy,Small,PayPal
21646,10,126.36,6,1278.26,2025-02-02,Resolved,1,2,2025,Vintage Cars,106.93,S17_7776,"Green, Spencer and Smith",636-699-5680x3949,55867 Stewart Oval,Apt. 890,Bethport,CO,60966,Vietnam,LATAM,Nelson,Nicholas,Small,PayPal
13063,37,78.64,10,2933.73,2025-01-03,In Process,1,1,2025,Classic Cars,84.49,S73_8410,Nichols-Brooks,(294)638-2721,422 Mitchell Parks,Suite 573,Marieview,CA,28889,Morocco,APAC,Anderson,Melissa,Medium,Credit Card
23375,7,112.78,5,778.13,2025-02-14,Shipped,1,2,2025,Ships,115.24,S82_7256,Novak-Mitchell,+1-694-484-5090,8231 Rachel Port,Suite 745,Julieborough,MN,52870,Reunion,EMEA,Shaffer,Vernon,Small,PayPal
20687,35,51.96,2,1899.37,2025-06-20,Shipped,2,6,2025,Motorcycles,57.92,S34_1467,Lloyd PLC,373.917.3155x9776,97399 Villarreal Plain,Suite 448,Batesmouth,HI,65242,Mayotte,APAC,Woods,John,Small,PayPal
10499,45,91.52,3,4054.84,2025-05-20,On Hold,2,5,2025,Classic Cars,106.52,S45_3986,"Miller, Mitchell and Vaughan",563-567-3121,400 Earl Highway,Apt. 599,Port Andrew,MD,63410,Heard Island and McDonald Islands,APAC,Stuart,Ashley,Medium,Bank Transfer
25690,11,101.86,7,1216.75,2025-05-19,Shipped,2,5,2025,Planes,99.03,S22_7543,"Huang, Davis and Moss",9139004290,52105 Katherine Ridge Apt. 160,Apt. 825,South Christine,WV,87748,Mexico,APAC,Higgins,Jose,Small,Bank Transfer
12154,8,80.23,5,587.57,2025-03-29,Shipped,1,3,2025,Vintage Cars,83.51,S78_3466,Graves-Price,+1-766-720-0154,95464 Alexander Cliffs Apt. 027,Suite 039,Craigtown,GU,10050,Algeria,LATAM,Ortega,Roy,Small,Credit Card
21310,83,88.21,2,7357.14,2025-05-12,Cancelled,2,5,2025,Trucks and Buses,104.37,S30_9774,"Watts, Fernandez and Bell",001-658-972-8967x67256,6527 Dennis Crossing,Suite 806,Rosemouth,WA,81084,British Virgin Islands,LATAM,Morris,David,Large,PayPal
27117,21,27.76,10,691.81,2025-03-24,Shipped,1,3,2025,Trains,27.98,S29_9645,Cooper-Long,7567276783,7573 Meadows Harbor Suite 013,Suite 202,East Davidhaven,LA,74802,New Zealand,LATAM,Anderson,Elizabeth,Small,Bank Transfer
20715,39,95.62,6,3718.4,2025-06-05,In Process,2,6,2025,Classic Cars,89.16,S47_2571,"Jones, Gonzalez and Odom",(490)875-4171x9004,5170 Destiny Spur,Suite 401,Port Yvonne,FL,17610,Botswana,LATAM,Meyer,Brittany,Medium,Bank Transfer
23611,8,140.26,5,1103.29,2025-05-16,On Hold,2,5,2025,Planes,118.07,S45_4132,"Odonnell, Moss and Garcia",473-859-9563x8260,5772 Johnson Forest Suite 565,Suite 491,New Gordonberg,NV,798,Cambodia,APAC,Williams,Karla,Small,PayPal
17893,44,68.11,1,3104.59,2025-05-05,Shipped,2,5,2025,Classic Cars,55.22,S74_3294,"Manning, Brooks and Erickson",784-545-6515,010 Simmons Lakes,Apt. 403,West Darrell,IA,36861,Guernsey,LATAM,Torres,Alexandra,Medium,PayPal
12624,11,146.12,7,1710.05,2025-01-27,Resolved,1,1,2025,Ships,141.56,S42_4034,Harris Inc,654.347.6538x88702,50620 Ryan Isle Apt. 422,Apt. 562,Stephensfurt,VT,18887,Isle of Man,LATAM,Johnson,Pamela,Small,Credit Card
25657,43,110.56,10,4714.32,2025-02-18,Shipped,1,2,2025,Classic Cars,93.94,S24_4533,Henderson-Tyler,658-381-0405,94727 Paul Point,Apt. 524,Jeromeshire,MH,96621,Comoros,EMEA,Austin,Bradley,Medium,Credit Card
24615,27,29.06,7,780.91,2025-03-19,Resolved,1,3,2025,Trains,31.33,S14_4490,King Ltd,760-760-1999,042 Matthew Fords,Suite 956,Justinborough,SD,31062,Turkey,EMEA,Baker,Zachary,Small,PayPal
24621,36,57.5,9,2200.73,2025-04-06,In Process,2,4,2025,Motorcycles,54.86,S57_6640,"Franklin, Holland and Byrd",389-394-2893x7511,801 Barrera Bridge,Apt. 117,South David,GU,12672,Singapore,LATAM,Hunter,Leslie,Medium,Credit Card
29703,53,55.96,1,3070.86,2025-03-20,Resolved,1,3,2025,Motorcycles,50.22,S53_8498,Jimenez Ltd,636-684-3760x3950,63247 Sanchez Extension,Apt. 429,Jameshaven,VA,71480,Gibraltar,LATAM,Rangel,Susan,Medium,Bank Transfer
24589,50,98.07,9,4783.95,2025-06-07,Shipped,2,6,2025,Classic Cars,82.1,S79_4781,"Young, Kim and Haynes",9509251912,14518 Courtney Camp Apt. 504,Suite 685,North Carolyn,CA,10027,Saint Barthelemy,LATAM,Allen,Omar,Medium,Credit Card
15962,46,48.19,5,2201.91,2025-06-29,In Process,2,6,2025,Motorcycles,44.37,S76_7395,"Boone, Ball and Miranda",542-312-4880x7103,93310 Ashley Prairie,Apt. 741,Josephton,AZ,23019,Guinea,APAC,Kelley,Cynthia,Medium,Bank Transfer
23963,6,178.91,10,946.01,2025-02-23,On Hold,1,2,2025,Planes,154.37,S10_8625,Dickerson Inc,926.347.8262x943,355 Wilson Streets Apt. 276,Apt. 242,Gonzalezside,VA,37394,Montserrat,APAC,Hughes,Kristen,Small,PayPal
28734,50,119.51,3,5919.02,2025-03-20,Shipped,1,3,2025,Classic Cars,121.22,S89_8772,Carter LLC,4827125586,235 Ramos Field Apt. 067,Suite 536,Normanhaven,NM,84052,Mauritius,APAC,Morton,Robert,Large,Bank Transfer
21665,28,79.19,4,2276.38,2025-01-29,In Process,1,1,2025,Classic Cars,74.64,S94_4490,Bryan-Knight,630.221.5059,82555 Gutierrez Drives Suite 404,Suite 275,Tiffanyfurt,DE,92051,Namibia,LATAM,Baker,Ronald,Medium,PayPal
23966,89,62.4,5,5628.31,2025-02-14,Resolved,1,2,2025,Trucks and Buses,62.59,S86_5272,Watson Group,+1-532-795-7446x1587,76883 Sanders Crossroad,Apt. 171,South Emily,MN,89994,Switzerland,LATAM,Poole,Sandra,Large,Credit Card
22691,30,98.49,6,2993.58,2025-03-22,Shipped,1,3,2025,Classic Cars,88.43,S91_7192,"Evans, Haynes and Wade",+1-517-721-9344x9025,6130 Medina Oval Apt. 825,Suite 426,Johnland,VT,11194,Lebanon,LATAM,Cruz,Kimberly,Medium,PayPal
22631,15,46.69,3,685.68,2025-05-13,Shipped,2,5,2025,Trains,41.72,S68_2193,"Diaz, Ewing and Chavez",7143735819,708 Timothy Inlet,Suite 470,North Jennifer,NE,20758,Congo,APAC,Maxwell,Wendy,Small,PayPal
24440,28,116.55,6,3291.05,2025-06-13,In Process,2,6,2025,Classic Cars,131.88,S93_2704,Davis-Moran,(229)847-8915,9403 Richard Trace,Suite 966,Amyborough,IA,39615,Cambodia,LATAM,Beck,Brenda,Medium,PayPal
17563,52,64.88,9,3313.09,2025-04-08,Shipped,2,4,2025,Motorcycles,58.63,S54_1788,Turner LLC,663.268.9874,4509 Davis Falls Suite 929,Apt. 786,East Steven,VT,8358,Israel,LATAM,Gray,Elizabeth,Medium,PayPal
11644,21,105.46,4,2172.88,2025-02-13,Cancelled,1,2,2025,Classic Cars,101.1,S59_7360,Martin Inc,814.306.4472x71810,4730 Dawn Rest,Suite 730,Sarahside,OH,76229,South Georgia and the South Sandwich Islands,LATAM,Foster,Brandy,Medium,Cash
10399,50,52.62,5,2642.58,2025-04-23,Cancelled,2,4,2025,Motorcycles,62.17,S80_6696,"Davis, Patterson and Castaneda",(746)826-2054x89310,942 Ortiz Roads,Suite 754,Brianland,GA,21175,Malawi,APAC,Reyes,Brandon,Medium,Credit Card
11698,33,43.7,7,1568.09,2025-04-14,On Hold,2,4,2025,Motorcycles,47.78,S82_9084,Jackson and Sons,+1-691-292-2928,0484 Matthew Island Suite 403,Suite 776,Scottstad,CO,77442,Croatia,EMEA,Fritz,Jared,Small,Credit Card
23057,7,145.3,6,1200.43,2025-03-28,Shipped,1,3,2025,Planes,145.4,S31_7783,"Ferrell, Thomas and Oconnell",001-499-296-2107x212,680 Marilyn Junction Suite 876,Apt. 019,Lake Janet,OH,96582,Burundi,EMEA,Anderson,Donald,Small,Credit Card
24083,37,110.82,4,3994.04,2025-01-21,Shipped,1,1,2025,Classic Cars,93.34,S28_8054,Parrish-Burns,(281)703-1366,91962 Jamie Land Apt. 688,Suite 595,Danielleland,OK,25179,Sao Tome and Principe,LATAM,Mitchell,Anthony,Medium,PayPal
11061,36,111.44,10,4043.22,2025-01-22,Shipped,1,1,2025,Classic Cars,133.17,S60_4462,Thomas-Dominguez,001-919-891-1249,474 Myers Grove Apt. 874,Suite 523,Watkinston,WV,35573,Faroe Islands,LATAM,Webb,Ashley,Medium,Cash
15116,8,115.84,1,957.2,2025-04-10,Shipped,2,4,2025,Vintage Cars,137.3,S20_8536,Ray-Marshall,001-421-456-3649x358,303 Katelyn Lock,Suite 933,Shelleyhaven,LA,43751,Sierra Leone,APAC,Mason,Scott,Small,PayPal
14650,23,70.1,6,1615.5,2025-06-02,Shipped,2,6,2025,Classic Cars,76.58,S77_9033,"Brown, Bass and Willis",731-265-9036x0614,4729 Cox Walk,Apt. 111,Christopherhaven,MP,78543,Australia,APAC,Reynolds,Joe,Small,PayPal
28585,24,77.91,8,1908.86,2025-05-20,Shipped,2,5,2025,Classic Cars,63.12,S80_2034,Harrison-Odom,995.895.0905x41948,6639 Cruz Junction,Suite 760,Gardnerland,UT,21232,Zambia,LATAM,Campbell,Janice,Small,Bank Transfer
23983,58,79.43,6,4640.79,2025-06-16,Shipped,2,6,2025,Motorcycles,88.31,S64_3264,Lambert PLC,537-413-5975,038 Davis Dale,Suite 768,Tinaburgh,UT,21300,Greece,LATAM,Preston,Laura,Medium,PayPal
23660,93,77.31,1,7169.31,2025-05-29,In Process,2,5,2025,Trucks and Buses,83.55,S68_3336,"Jones, Wallace and Moore",001-347-586-3508,037 Rebecca Drive Apt. 179,Suite 186,Mirandahaven,AL,31991,Jamaica,LATAM,Rose,Christopher,Large,Credit Card
11789,46,76.33,6,3660.93,2025-05-11,Resolved,2,5,2025,Classic Cars,63.0,S60_5935,"Riley, Howell and Moreno",782-801-5782,225 Karina Mountains Apt. 687,Suite 941,Hollyport,MN,98398,Austria,LATAM,Adams,Emily,Medium,PayPal
19521,38,58.18,3,2280.46,2025-01-20,Shipped,1,1,2025,Motorcycles,47.93,S54_1955,Rodriguez Group,(972)880-8059,046 Jones Camp,Suite 355,Elizabethburgh,FM,49542,Mauritania,LATAM,Cherry,Karen,Medium,Credit Card
20247,56,56.2,6,3066.61,2025-06-18,Resolved,2,6,2025,Motorcycles,52.22,S57_2715,Watkins Ltd,+1-356-622-2546x199,12640 Zamora Ranch Apt. 583,Suite 005,Ericbury,NY,64081,Venezuela,APAC,Callahan,Sonya,Medium,Credit Card
11312,53,60.42,10,3198.69,2025-03-30,Resolved,1,3,2025,Trucks and Buses,66.63,S12_1081,Pearson-Ortega,+1-907-315-9482,1791 Jennifer Ford,Suite 439,North Sharonborough,KS,10684,Togo,LATAM,Casey,Rachael,Medium,Credit Card
18011,54,76.7,7,4214.32,2025-05-25,Shipped,2,5,2025,Motorcycles,75.18,S37_6909,"Green, Mosley and Barrett",(695)572-9367,99326 Lee Vista,Apt. 308,Bowersville,FL,60911,Slovenia,LATAM,Maddox,Thomas,Medium,Credit Card
16322,49,63.8,10,3277.21,2025-03-10,Resolved,1,3,2025,Motorcycles,69.26,S78_4921,Williams LLC,595.734.6293x7764,528 Nguyen Place Apt. 451,Apt. 491,Robertborough,NY,59671,Saudi Arabia,LATAM,Wilson,Anthony,Medium,Credit Card
21569,13,83.74,2,1223.09,2025-05-08,In Process,2,5,2025,Ships,75.21,S79_3767,Campbell-Carter,+1-421-701-7324x65974,7359 Rachel Greens,Apt. 732,Grahamport,CA,71862,Seychelles,LATAM,Black,Jessica,Small,Credit Card
18765,18,110.91,6,1901.27,2025-05-23,Shipped,2,5,2025,Ships,103.28,S48_6224,Brooks-Gonzalez,8054593207,98614 Lopez Crossing Apt. 440,Apt. 919,Priceport,ME,33361,Ireland,EMEA,Anderson,Patricia,Small,PayPal
29462,53,61.41,6,3167.79,2025-01-25,Shipped,1,1,2025,Motorcycles,66.68,S92_4959,Gomez Ltd,001-595-374-9447,947 Duran Garden Apt. 806,Suite 172,Traceyberg,TX,2172,Saint Barthelemy,APAC,Jones,Laura,Medium,Credit Card
24849,10,100.93,4,975.97,2025-06-24,On Hold,2,6,2025,Vintage Cars,88.34,S99_7180,Peters-Kennedy,(518)639-2086x34641,07895 Angela Groves,Apt. 633,Sharonland,PW,98157,Micronesia,EMEA,Morris,Kristin,Small,Cash
22831,81,79.22,10,6456.91,2025-06-04,In Process,2,6,2025,Trucks and Buses,83.88,S37_5202,"Ritter, Bird and Hammond",257.988.4924,627 Robertson Coves Apt. 968,Apt. 624,Nelsonland,AS,99888,Cape Verde,EMEA,Watson,Kimberly,Large,Bank Transfer
21401,11,181.52,4,1672.31,2025-03-25,Cancelled,1,3,2025,Planes,191.68,S94_3968,Giles PLC,221-421-1145x0675,944 John Harbors Apt. 331,Suite 568,Kristinamouth,NE,43139,Sudan,EMEA,Murphy,Edward,Small,PayPal
